	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
198	1	6	165184	579.0	387.0	188.0	3000	171229	169260	1969	345.0	345	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	168915	A	238.0	219.0	119	188.0	0	170.0
199	0	6	172974		200.0	241.0	3000	178760	176927	1329	322.0	322	[4, 3, 1, 4, 2, 3, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	176605	A		252.0	119	179.0	0	155.0
200	1	6	179861	282.0	292.0	234.0	3000	185097	183317	1780	425.0	425	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	182892	B	262.0	230.0	119	273.0	0	207.0
201	1	6	186826	291.0	217.0	210.0	3000	192153	190301	1852	444.0	444	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	189857	A	292.0	415.0	119	262.0	0	165.0
202	1	6	193784	379.0	264.0	259.0	3000	201399	199546	1853	330.0	330	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	199216	A	336.0	206.0	119	229.0	0	180.0
203	0	6	203335		381.0	594.0	3000	209969	206975	2424	509.0	509	[2, 4, 3, 1, 2, 1]	[2, 4, 3, 1, 2, 1, 3, 4]	206466	random		444.0	119	622.0	1	383.0
204	0	6	211170		381.0	458.0	3000	218405	215425	2267	523.0	523	[4, 1, 2, 3, 2, 4, 1]	[4, 1, 2, 3, 2, 4, 1, 3]	214902	random	288.0	389.0	119	377.0	1	374.0
205	0	6	219506			262.0	3000	224740	223114	1120	377.0	377	[4, 3, 1, 4, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	222737	A			119	294.0	0	119.0
206	1	6	225939	460.0	421.0	389.0	3000	232184	229821	2363	452.0	452	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	229369	A	277.0	239.0	119	397.0	0	180.0
207	0	6	234617		338.0	409.0	3000	241350	238468	2048	621.0	621	[3, 4, 2, 1, 2, 1]	[3, 4, 2, 1, 2, 1, 3, 4]	237847	random		468.0	119	395.0	1	438.0
208	0	6	242352			266.0	3000	247391	245804	1081	422.0	422	[4, 3, 1, 4, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	245382	A			119	257.0	0	131.0
